mean_voltage,std_dev_voltage,mean_current,std_dev_current,label,kondisi
300.69419999999997,4.011709437664312,0.050199999999999995,0.0024660966430902946,1,Normal
300.7296,3.9637278680864183,0.050199999999999995,0.0024660966430902946,1,Normal
300.8974,4.1042853711898815,0.050199999999999995,0.0024660966430902946,1,Normal
300.9048,4.107529293621554,0.050199999999999995,0.0024660966430902946,1,Normal
300.94939999999997,4.1853244138273915,0.050199999999999995,0.0024660966430902946,1,Normal
300.9382,4.188173675326023,0.0506,0.002398979374820951,1,Normal
300.81540000000007,4.115948676818516,0.0506,0.0023989793748209506,1,Normal
300.9742,4.030625661667156,0.050599999999999985,0.002398979374820951,1,Normal
300.96619999999996,4.032266233719178,0.050599999999999985,0.0023989793748209506,1,Normal
300.89239999999995,4.034026984823691,0.050599999999999985,0.002398979374820951,1,Normal
